,LCIA,database,product,Scenario,imp_cat,imp_yr
78,background,ei391_Image_SSP2_RCP26_50,"inorganic nitrogen fertiliser, as N",S0_Ammon_salts,ME,0.6771718070842367
79,background,ei391_Image_SSP2_RCP26_50,"inorganic nitrogen fertiliser, as N",S0_Ammon_salts,WC,94.61411758722076
80,background,ei391_Image_SSP2_RCP26_50,"inorganic phosphorus fertiliser, as P2O5",S0_Ammon_salts,ADP,0.0
81,background,ei391_Image_SSP2_RCP26_50,"inorganic phosphorus fertiliser, as P2O5",S0_Ammon_salts,FE,0.0
82,background,ei391_Image_SSP2_RCP26_50,"inorganic phosphorus fertiliser, as P2O5",S0_Ammon_salts,GWP100,0.0
83,background,ei391_Image_SSP2_RCP26_50,"inorganic phosphorus fertiliser, as P2O5",S0_Ammon_salts,ME,0.0
84,background,ei391_Image_SSP2_RCP26_50,"inorganic phosphorus fertiliser, as P2O5",S0_Ammon_salts,WC,0.0
85,background,ei391_Image_SSP2_RCP26_50,"inorganic potassium fertiliser, as K2O",S0_Ammon_salts,ADP,0.045553272591402884
86,background,ei391_Image_SSP2_RCP26_50,"inorganic potassium fertiliser, as K2O",S0_Ammon_salts,FE,0.38738992759830587
87,background,ei391_Image_SSP2_RCP26_50,"inorganic potassium fertiliser, as K2O",S0_Ammon_salts,GWP100,2630.1324309259367
88,background,ei391_Image_SSP2_RCP26_50,"inorganic potassium fertiliser, as K2O",S0_Ammon_salts,ME,0.3069423281930831
89,background,ei391_Image_SSP2_RCP26_50,"inorganic potassium fertiliser, as K2O",S0_Ammon_salts,WC,36.500488331704275
90,background,ei391,Ammonium sulphate at WWTP,S0_Ammon_salts,FE_Reg,0.6560812687374868
91,background,ei391,Ammonium sulphate at WWTP,S0_Ammon_salts,ME_Reg,-0.10212049533536914
92,background,ei391,Struvite at WWTP,S0_Ammon_salts,FE_Reg,0.28618097292528816
93,background,ei391,Struvite at WWTP,S0_Ammon_salts,ME_Reg,-0.00326273960060756
94,background,ei391,"compost, market for compost Metropolitan Area of Barcelona",S0_Ammon_salts,FE_Reg,0.0
95,background,ei391,"compost, market for compost Metropolitan Area of Barcelona",S0_Ammon_salts,ME_Reg,0.0
96,background,ei391,"inorganic nitrogen fertiliser, as N",S0_Ammon_salts,FE_Reg,0.759219763439902
97,background,ei391,"inorganic nitrogen fertiliser, as N",S0_Ammon_salts,ME_Reg,0.7012057986536897
98,background,ei391,"inorganic phosphorus fertiliser, as P2O5",S0_Ammon_salts,FE_Reg,0.0
99,background,ei391,"inorganic phosphorus fertiliser, as P2O5",S0_Ammon_salts,ME_Reg,0.0
100,background,ei391,"inorganic potassium fertiliser, as K2O",S0_Ammon_salts,FE_Reg,0.6321093781621867
101,background,ei391,"inorganic potassium fertiliser, as K2O",S0_Ammon_salts,ME_Reg,0.3275092841483008
102,background,ei391_Image_SSP2_Base_50,Ammonium sulphate at WWTP,S0_Ammon_salts,FE_Reg,1.0364005600638204
103,background,ei391_Image_SSP2_Base_50,Ammonium sulphate at WWTP,S0_Ammon_salts,ME_Reg,-0.08668305776817856
104,background,ei391_Image_SSP2_Base_50,Struvite at WWTP,S0_Ammon_salts,FE_Reg,0.2779273591136501
105,background,ei391_Image_SSP2_Base_50,Struvite at WWTP,S0_Ammon_salts,ME_Reg,-0.0054274628723539045
106,background,ei391_Image_SSP2_Base_50,"compost, market for compost Metropolitan Area of Barcelona",S0_Ammon_salts,FE_Reg,0.0
107,background,ei391_Image_SSP2_Base_50,"compost, market for compost Metropolitan Area of Barcelona",S0_Ammon_salts,ME_Reg,0.0
108,background,ei391_Image_SSP2_Base_50,"inorganic nitrogen fertiliser, as N",S0_Ammon_salts,FE_Reg,1.0605403693462294
109,background,ei391_Image_SSP2_Base_50,"inorganic nitrogen fertiliser, as N",S0_Ammon_salts,ME_Reg,0.714477728729661
110,background,ei391_Image_SSP2_Base_50,"inorganic phosphorus fertiliser, as P2O5",S0_Ammon_salts,FE_Reg,0.0
111,background,ei391_Image_SSP2_Base_50,"inorganic phosphorus fertiliser, as P2O5",S0_Ammon_salts,ME_Reg,0.0
112,background,ei391_Image_SSP2_Base_50,"inorganic potassium fertiliser, as K2O",S0_Ammon_salts,FE_Reg,0.8975711156780009
113,background,ei391_Image_SSP2_Base_50,"inorganic potassium fertiliser, as K2O",S0_Ammon_salts,ME_Reg,0.33756170652353146
114,background,ei391_Image_SSP2_RCP26_50,Ammonium sulphate at WWTP,S0_Ammon_salts,FE_Reg,0.16310992508070365
115,background,ei391_Image_SSP2_RCP26_50,Ammonium sulphate at WWTP,S0_Ammon_salts,ME_Reg,-0.13783926759892182
116,background,ei391_Image_SSP2_RCP26_50,Struvite at WWTP,S0_Ammon_salts,FE_Reg,0.06569819612745965
117,background,ei391_Image_SSP2_RCP26_50,Struvite at WWTP,S0_Ammon_salts,ME_Reg,-0.017559825675591834
118,background,ei391_Image_SSP2_RCP26_50,"compost, market for compost Metropolitan Area of Barcelona",S0_Ammon_salts,FE_Reg,0.0
119,background,ei391_Image_SSP2_RCP26_50,"compost, market for compost Metropolitan Area of Barcelona",S0_Ammon_salts,ME_Reg,0.0
120,background,ei391_Image_SSP2_RCP26_50,"inorganic nitrogen fertiliser, as N",S0_Ammon_salts,FE_Reg,0.4372876531442071
121,background,ei391_Image_SSP2_RCP26_50,"inorganic nitrogen fertiliser, as N",S0_Ammon_salts,ME_Reg,0.6771718070842367
122,background,ei391_Image_SSP2_RCP26_50,"inorganic phosphorus fertiliser, as P2O5",S0_Ammon_salts,FE_Reg,0.0
123,background,ei391_Image_SSP2_RCP26_50,"inorganic phosphorus fertiliser, as P2O5",S0_Ammon_salts,ME_Reg,0.0
124,background,ei391_Image_SSP2_RCP26_50,"inorganic potassium fertiliser, as K2O",S0_Ammon_salts,FE_Reg,0.38738992759830587
125,background,ei391_Image_SSP2_RCP26_50,"inorganic potassium fertiliser, as K2O",S0_Ammon_salts,ME_Reg,0.3069423281930831
