,DUN_GRUP,DUN_CULTIU,Voronoi_1,ID_Voronoi,Municipi,Codi_munic,Comarca,Codi_comar,ID_CUENCA,CUENCA,ID_SUBCUEN,N_SUBCUENC,SUBCUENCAS,yield_kgHA,Voronoi_ag,Vor_ag_Num,Fid,Area,FoodTons_N,P_Manure,P_Fertiliser,P_Struvite,P_Compost,P_In,P_PO43-,P_Harvest,P_Out,P_Balance,P_bln_check
27,FRUITA DOLCA,PRESSEGUERS,Altres conreus herbacis en regadiu,9,Sant Vicenç dels Horts,82634,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,3700.0,ALTRES CONREUS HERBACIS,1,27,33489.7771,12.391,0,0.0,44.4,0,44.4,0.0,44.4,44.4,0.0,Enough
28,GUARET,GUARET NO SIE/ SUP. LLIURE SE*,Altres conreus herbacis en regadiu,9,Sant Andreu de la Barca,81960,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,1350.0,ALTRES CONREUS HERBACIS,1,28,5389.8444,0.728,0,0.0,16.2,0,16.2,0.0,16.2,16.2,0.0,Enough
29,GUARET,GUARET NO SIE/ SUP. LLIURE SE*,Altres conreus herbacis en regadiu,9,Corbera de Llobregat,80728,Baix Llobregat,11,4,Llobregat,57414,RIERA DE CORBERA,EL LLOBREGAT,3700.0,ALTRES CONREUS HERBACIS,1,29,1215.7016,0.45,0,0.0,44.4,0,44.4,0.0,44.4,44.4,0.0,Enough
30,CEREALS,CIVADA,CIVADA,20,Ripollet,81803,Valles Occidental,40,5,Besos,59535,RIU RIPOLL,EL BESÃ?S,1600.0,CIVADA,9,30,11451.0656,1.832,0,0.0,19.2,0,19.2,0.0,19.2,19.2,0.0,Enough
31,CEREALS,BLAT TOU,BLAT TOU,14,Ripollet,81803,Valles Occidental,40,5,Besos,59535,RIU RIPOLL,EL BESÃ?S,3100.0,BLAT,4,31,4657.6314,1.444,0,0.0,37.2,0,37.2,0.0,37.2,37.2,0.0,Enough
32,HORTICOLES,HORTA,HORTA,43,el Prat de Llobregat,81691,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,RIERES DEL PLA DEL LLOBREGAT,20332.0,HORTA,19,32,1343.6753,2.732,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
33,HORTICOLES,HORTA,HORTA,43,Molins de Rei,81234,Baix Llobregat,11,4,Llobregat,57306,TORRENT D'EN BENET,EL LLOBREGAT,20332.0,HORTA,19,33,3502.5475,7.121,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
34,CEREALS,ORDI,Horta familiar,44,Hospitalet de Llobregat,81017,Barcelones,13,4,Llobregat,57275,RIU LLOBREGAT,RIERES DEL PLA DE BARCELONA,22720.0,HORTA,19,34,9899.4352,22.492,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
35,FRUITA DOLCA,CIRERERS,Rompudes agrícoles,60,Viladecans,83015,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DEL PLA DEL LLOBREGAT,0.0,ROMPUDES AGRICOLES,31,35,13203.2539,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Enough
36,HORTICOLES,HORTA,HORTA,43,Gavà,80898,Baix Llobregat,11,3,Garraf,57252,RIERA DELS CANYARS,RIERES DE GARRAF,20332.0,HORTA,19,36,12970.9045,26.372,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
37,HORTICOLES,HORTA,HORTA,43,Gavà,80898,Baix Llobregat,11,3,Garraf,57252,RIERA DELS CANYARS,RIERES DE GARRAF,20332.0,HORTA,19,37,2776.1545,5.644,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
38,HORTICOLES,HORTA,HORTA,43,Gavà,80898,Baix Llobregat,11,3,Garraf,57252,RIERA DELS CANYARS,RIERES DE GARRAF,20332.0,HORTA,19,38,23223.1029,47.217,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
39,HORTICOLES,HORTA,HORTA,43,el Prat de Llobregat,81691,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,RIERES DEL PLA DEL LLOBREGAT,20332.0,HORTA,19,39,3371.7977,6.856,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
40,HORTICOLES,HORTA,HORTA,43,el Prat de Llobregat,81691,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,RIERES DEL PLA DEL LLOBREGAT,20332.0,HORTA,19,40,18272.2708,37.151,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
41,FRUITA DOLCA,PRUNERES,PRUNERES,58,Santa Coloma de Cervelló,82444,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,9300.0,PRUNERES,29,41,932.0529,0.867,0,0.0,15.903,0,15.903,0.0,15.903,15.903,0.0,Enough
42,FRUITA DOLCA,FRUITERS VARIS,FRUITERS VARIS,35,Molins de Rei,81234,Baix Llobregat,11,4,Llobregat,57335,RIERA DE VALLVIDRERA,EL LLOBREGAT,5438.0,ALTRES FRUITERS,2,42,3881.2055,2.111,0,0.0,5.9818,0,5.9818,0.0,5.9818,5.9818,0.0,Enough
43,FARRATGERES,ALFALS,ALFALS,3,Cerdanyola del Vallès,82665,Valles Occidental,40,5,Besos,59568,RIU SEC,EL BESÃ?S,14100.0,HORTA,19,43,1045.0492,1.474,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
44,CEREALS,ORDI,ORDI,52,Montcada i Reixac,81252,Valles Occidental,40,5,Besos,59656,RIERA DE POLINYA,EL BESÃ?S,1800.0,ORDI,24,44,1500.2801,0.27,0,0.0,1.8,0,1.8,0.0,1.8,1.8,0.0,Enough
45,PROTEAGINOSES,PESOLS,Altres conreus herbacis,4,Cerdanyola del Vallès,82665,Valles Occidental,40,5,Besos,59536,RIERA DE SANT CUGAT,EL BESÃ?S,1580.0,HORTA,19,45,96.7178,0.015,0,0.0,18.96,0,18.96,0.0,18.96,18.96,0.0,Enough
46,PROTEAGINOSES,PESOLS,Altres conreus herbacis,4,Cerdanyola del Vallès,82665,Valles Occidental,40,5,Besos,59536,RIERA DE SANT CUGAT,EL BESÃ?S,1580.0,HORTA,19,46,58.4189,0.009,0,0.0,18.96,0,18.96,0.0,18.96,18.96,0.0,Enough
47,GUARET,GUARET NO SIE/ SUP. LLIURE SE*,Altres conreus herbacis,4,Barberà del Vallès,82520,Valles Occidental,40,5,Besos,59535,RIU RIPOLL,EL BESÃ?S,1580.0,HORTA,19,47,20858.045500000004,3.296,0,0.0,18.96,0,18.96,0.0,18.96,18.96,0.0,Enough
48,GUARET,GUARET NO SIE/ SUP. LLIURE SE*,Altres conreus herbacis,4,Ripollet,81803,Valles Occidental,40,5,Besos,59535,RIU RIPOLL,EL BESÃ?S,1580.0,HORTA,19,48,1894.9628,0.299,0,0.0,18.96,0,18.96,0.0,18.96,18.96,0.0,Enough
49,GUARET,GUARET NO SIE/ SUP. LLIURE SE*,Altres conreus herbacis,4,Ripollet,81803,Valles Occidental,40,5,Besos,59535,RIU RIPOLL,EL BESÃ?S,1580.0,HORTA,19,49,2164.847,0.342,0,0.0,18.96,0,18.96,0.0,18.96,18.96,0.0,Enough
