,Fid,Area,WE_mm_ha_yr
157,157.0,0.05330731,0.0
158,158.0,0.03184982,25056.046553010343
159,159.0,0.057978459999999996,13764.259565104006
160,160.0,0.0225152,0.0
161,161.0,0.015416000000000001,0.0
162,162.0,0.27018076,2935.320205628261
163,163.0,0.03763437,21292.176688489802
164,164.0,0.027118680000000003,0.0
165,165.0,0.02251523,0.0
166,166.0,0.01541599,0.0
167,167.0,0.014418279999999999,0.0
168,168.0,0.02251522,0.0
169,169.0,0.40984185,0.0
170,170.0,0.02251523,0.0
171,171.0,0.02251523,0.0
172,172.0,0.99905695,0.0
173,173.0,0.058103440000000006,0.0
174,174.0,0.02251521,0.0
175,175.0,0.01651182,48030.2622000482
176,176.0,0.026166969999999998,0.0
177,177.0,0.33154321000000003,859.0778915363702
178,178.0,0.03606447,0.0
179,179.0,0.33773466,0.0
180,180.0,0.045031270000000005,0.0
181,181.0,0.02251563,0.0
182,182.0,0.29724214000000004,0.0
183,183.0,0.014418260000000002,0.0
184,184.0,0.01541597,0.0
185,185.0,0.1125761,0.0
186,186.0,0.02616651,0.0
187,187.0,0.30236141,0.0
188,188.0,0.12699653000000002,6387.777889679345
189,189.0,0.08008936,4502.266226125418
190,190.0,0.03543017,10177.304274859534
191,191.0,0.0675468,12009.830612256981
192,192.0,0.5353006,1515.4580928921055
193,193.0,0.07167886,11320.929032632494
194,194.0,0.017864650000000003,0.0
195,195.0,0.00929607,87352.16677585257
196,196.0,0.014418520000000002,25008.36567137265
197,197.0,0.02181188,13058.08769349547
198,198.0,0.4064292,1265.1076349829195
199,199.0,0.0225156,36040.40252980156
200,200.0,0.06754679,12013.469288473962
201,201.0,0.07343016000000001,0.0
202,202.0,0.01541625,23389.83998054001
203,203.0,0.24143123000000002,0.0
204,204.0,0.79062542,0.0
205,205.0,0.03141515,0.0
206,206.0,0.02616821,0.0
207,207.0,0.46334207,1109.7129254850524
208,208.0,0.012459010000000001,0.0
209,209.0,0.22515609,3602.9477434965224
210,210.0,0.32959597,0.0
211,211.0,0.06754488,0.0
212,212.0,0.48698331,0.0
213,213.0,0.02251507,36115.1312609732
214,214.0,0.032416060000000003,0.0
215,215.0,0.06791273,0.0
216,216.0,0.46164962,0.0
217,217.0,0.04647413,17496.501997993288
218,218.0,0.026166250000000002,31085.25115368079
219,219.0,0.3461114,0.0
220,220.0,0.02251507,0.0
221,221.0,0.022515010000000002,36126.319863948534
222,222.0,12.79688015,63.3715360692817
223,223.0,3.40129033,239.13996574353
