,Fid,Area,WE_m3_ha_yr
72,72.0,0.00249169,0.0
73,73.0,1.46815676,0.0
74,74.0,0.24313849,0.0
75,75.0,0.029156420000000006,289922.16979999596
76,76.0,0.79959628,3453.295119131871
77,77.0,0.30222953,25939.004557231718
78,78.0,0.08245910000000001,108856.1991520645
79,79.0,0.20593975,40961.63884825538
80,80.0,0.84032694,10685.694445307206
81,81.0,0.21005996000000002,39867.75780591409
82,82.0,0.7534783300000001,11058.063806559638
83,83.0,2.1578743,3852.298524524808
84,84.0,0.45509792,18265.90633945328
85,85.0,0.25743953,32892.9773916228
86,86.0,0.14385877000000002,0.0
87,87.0,0.27050066,10038.830191763673
88,88.0,0.15425866000000002,17874.063128773454
89,89.0,0.01824875,0.0
90,90.0,2.67419141,0.0
91,91.0,0.37765713,0.0
92,92.0,0.62517619,12035.57439383608
93,93.0,0.13478938000000001,55823.05181610006
94,94.0,0.02251383,336729.2522862614
95,95.0,1.0209917400000001,0.0
96,96.0,0.15759207,0.0
97,97.0,0.8084262700000001,0.0
98,98.0,0.01436745,0.0
99,99.0,0.02213083,0.0
100,100.0,0.08585264,0.0
101,101.0,0.02251355,0.0
102,102.0,0.11256796,0.0
103,103.0,0.31009857,0.0
104,104.0,3.10081101,0.0
105,105.0,0.55203318,0.0
106,106.0,0.44755317,0.0
107,107.0,0.02251307,0.0
108,108.0,0.35857651,0.0
109,109.0,0.11256534,0.0
110,110.0,0.01329972,0.0
111,111.0,0.022513110000000003,0.0
112,112.0,0.5306397700000001,0.0
113,113.0,0.13522646,0.0
114,114.0,0.022272550000000002,159865.17942489748
115,115.0,0.02251413,158149.8020132246
116,116.0,0.02238755,159043.9865907614
117,117.0,0.01056164,336564.0447884987
118,118.0,0.015415280000000002,0.0
119,119.0,0.022514140000000002,0.0
120,120.0,0.022514140000000002,158029.00319532526
121,121.0,2.78164423,2969.842374127047
122,122.0,25.69039786,321.5615791167821
123,123.0,9.5725449,862.993591599659
124,124.0,1.25582676,6578.172377852499
125,125.0,6.34812668,1358.426755355802
126,126.0,0.017538250000000002,491694.7317149659
127,127.0,6.7567752,1273.2137171738377
128,128.0,49.973994790000006,171.41323255218597
129,129.0,0.02251403,156571.25072676904
130,130.0,2.4963457200000003,3495.2569652491884
131,131.0,0.4684619,11495.251187983486
132,132.0,0.23202513,22457.422866221426
133,133.0,0.31201795000000004,16699.9573582225
134,134.0,9.12912729,570.7759673487914
135,135.0,0.04394551000000001,78028.95381120846
136,136.0,0.0413457,195713.7767168049
137,137.0,0.04750453,170625.19145016273
138,138.0,0.18005670000000001,0.0
139,139.0,0.05053038000000001,0.0
140,140.0,0.53928485,14897.273887816427
141,141.0,3.75073593,756.1359591636196
142,142.0,0.8550635500000001,0.0
143,143.0,5.63299454,1426.217273414932
144,144.0,0.01960367,424536.6048296058
145,145.0,1.27924962,4073.2366682274255
146,146.0,0.62279536,8356.572679025741
147,147.0,0.01551011,0.0
148,148.0,0.86950296,2129.734672783633
149,149.0,0.10534687,17786.59304733022
150,150.0,0.00689794,271640.7950054654
151,151.0,2.46306157,751.8328508531763
152,152.0,0.035548340000000005,106740.51452191577
153,153.0,0.04795639,78172.51224497925
154,154.0,0.03575586,104730.42885837452
155,155.0,0.38066131999999997,0.0
156,156.0,0.37753984,0.0
157,157.0,0.05330731,0.0
158,158.0,0.03184982,250560.46553010342
159,159.0,0.057978459999999996,137642.59565104006
160,160.0,0.0225152,0.0
161,161.0,0.015416000000000001,0.0
162,162.0,0.27018076,29353.20205628261
163,163.0,0.03763437,212921.766884898
164,164.0,0.027118680000000003,0.0
165,165.0,0.02251523,0.0
166,166.0,0.01541599,0.0
