,Fid,Area,01_PPTe,02_PPTe,03_PPTe,04_PPTe,05_PPTe,06_PPTe,07_PPTe,08_PPTe,09_PPTe,10_PPTe,11_PPTe,12_PPTe
1833,1833.0,0.01150801,11.3199,12.883725,45.114225,8.829,24.782625000000003,14.05755,9.770475000000001,36.37605,42.6789,51.687599999999996,26.589299999999998,0.0
1834,1834.0,0.01176458,11.28675,13.01415,46.404075000000006,8.990025000000001,23.438100000000002,14.3901,10.97535,35.920575,44.851575000000004,51.471000000000004,27.587175,0.0
1835,1835.0,0.038141930000000004,11.287125,13.005075,46.330124999999995,8.981399999999999,23.50695,14.3706,10.911,35.942475,44.7333,51.470924999999994,27.532725,0.0
1836,1836.0,0.26269526000000004,10.7601,17.82615,48.932249999999996,10.112325,7.7583,48.076425,19.720425,27.398699999999998,41.03145,30.242925,58.94234999999999,0.0
1837,1837.0,0.22649200000000003,10.54635,15.830324999999998,46.7427,9.860475,11.550225,38.092875,17.2536,29.10075,41.086800000000004,32.193375,49.81035,0.0
1838,1838.0,0.00011933000000000001,10.650225,17.013375,47.890425,10.097625,8.862375,44.357025,18.805125,27.653174999999997,40.509825,29.69205,55.470600000000005,0.0
1839,1839.0,0.36624541,9.61815,9.545100000000001,38.811525,9.4161,25.504125,13.850024999999999,10.6458,33.9816,39.199799999999996,31.514025000000004,28.849574999999998,0.0
1840,1840.0,1.17217987,10.556325000000001,9.463049999999999,44.353575,10.752225,22.602525,13.03875,16.335975,44.2344,29.769,31.8459,32.261849999999995,0.0
1841,1841.0,0.11018812000000001,10.83825,15.299999999999999,48.998774999999995,9.77085,13.482825,29.813175,17.06595,30.926775,46.77705,39.694424999999995,43.096725,0.0
1842,1842.0,0.0242981,10.556325000000001,9.463049999999999,44.353575,10.752225,22.602525,13.03875,16.335975,44.2344,29.769,31.8459,32.261849999999995,0.0
1843,1843.0,0.00196807,11.4792,12.661425000000001,42.795825,8.4735,27.901799999999998,12.870075,7.177350000000001,37.62885,38.553974999999994,53.375925,24.05235,0.0
1844,1844.0,0.036862200000000005,11.216999999999999,12.388275,42.298275000000004,8.4618,26.64405,13.014524999999999,7.5801,37.104375,38.782424999999996,51.341775,24.352275000000002,0.0
1845,1845.0,0.7395,11.580525,12.858825,43.4658,8.55135,27.9114,13.144725,7.481175,37.6317,39.1626,53.973825000000005,24.484875000000002,0.0
1846,1846.0,0.03642219,11.725575,12.93195,43.2456,8.483175,29.040975,12.806249999999999,6.807225,38.1231,38.309625000000004,55.24605,23.819325,0.0
1847,1847.0,0.042169240000000004,10.9347,13.33305,46.750275,9.233175,19.7349,18.36405,13.047674999999998,34.073175,45.776175,46.329225,31.87695,0.0
1848,1848.0,0.14021066000000001,10.508325000000001,11.421825,40.34655,8.30895,24.042975,12.303825,7.931849999999999,36.086325,38.613225,46.5861,23.877825,0.0
1849,1849.0,0.07159692000000001,10.74195,13.505625,45.93675,9.2751,18.3786,21.22065,13.446674999999999,33.184275,44.37315,43.007925,34.318875,0.0
1850,1850.0,0.09603632000000001,10.701525,13.2138,45.129525,9.1638,19.172475000000002,20.120775000000002,12.719100000000001,33.518550000000005,43.499325,43.209975,33.023925,0.0
1851,1851.0,0.016472120000000003,11.580525,12.858825,43.4658,8.55135,27.9114,13.144725,7.481175,37.6317,39.1626,53.973825000000005,24.484875000000002,0.0
1852,1852.0,0.40315402,11.5824,12.849225,43.414049999999996,8.543700000000001,27.980400000000003,13.1025,7.4247749999999995,37.657275,39.079575,54.00675,24.418425,0.0
1853,1853.0,1.70888138,11.471625,12.828225,43.822875,8.6271,26.896124999999998,13.448999999999998,8.1534,37.203,40.1049,53.011425,25.128225,0.0
1854,1854.0,0.08606113000000001,11.522924999999999,12.8388,43.625474999999994,8.587725,27.4005,13.297425,7.811325,37.413975,39.614925,53.465999999999994,24.802875,0.0
1855,1855.0,0.13400172000000002,11.580525,12.858825,43.4658,8.55135,27.9114,13.144725,7.481175,37.6317,39.1626,53.973825000000005,24.484875000000002,0.0
1856,1856.0,0.021309110000000003,11.580525,12.858825,43.4658,8.55135,27.9114,13.144725,7.481175,37.6317,39.1626,53.973825000000005,24.484875000000002,0.0
1857,1857.0,0.19203969,11.522924999999999,12.8388,43.625474999999994,8.587725,27.4005,13.297425,7.811325,37.413975,39.614925,53.465999999999994,24.802875,0.0
1858,1858.0,0.008569410000000001,11.522924999999999,12.8388,43.625474999999994,8.587725,27.4005,13.297425,7.811325,37.413975,39.614925,53.465999999999994,24.802875,0.0
1859,1859.0,0.03572876,11.580525,12.858825,43.4658,8.55135,27.9114,13.144725,7.481175,37.6317,39.1626,53.973825000000005,24.484875000000002,0.0
1860,1860.0,0.47350496999999997,11.302724999999999,12.932025,45.57855,8.88945,24.252525,14.216999999999999,10.228124999999999,36.19005,43.4727,51.543000000000006,26.992800000000003,0.0
1861,1861.0,0.5078191200000001,11.3997,12.775575,43.899375,8.6565,26.402324999999998,13.540125,8.445,36.978075,40.487700000000004,52.415400000000005,25.378124999999997,0.0
1862,1862.0,0.06278513000000001,11.580525,12.858825,43.4658,8.55135,27.9114,13.144725,7.481175,37.6317,39.1626,53.973825000000005,24.484875000000002,0.0
1863,1863.0,0.08121513,11.522924999999999,12.8388,43.625474999999994,8.587725,27.4005,13.297425,7.811325,37.413975,39.614925,53.465999999999994,24.802875,0.0
1864,1864.0,2.24987696,11.352675000000001,12.73725,43.9101,8.671275,26.111700000000003,13.598025,8.603475,36.840225000000004,40.67355,52.019175000000004,25.520474999999998,0.0
1865,1865.0,0.01130735,11.350950000000001,12.821850000000001,44.48895,8.744174999999998,25.551675,13.81545,9.123825,36.6537,41.584649999999996,51.965250000000005,26.006625,0.0
1866,1866.0,0.008814919999999999,9.95175,8.388225,38.6952,10.943625,23.562075,15.458175,15.0078,37.931174999999996,32.369025,26.932275,33.397574999999996,0.0
1867,1867.0,2.06337319,10.382775,8.704725,41.1978,10.871925000000001,21.758775,14.5266,16.213124999999998,41.571675,28.929225,29.947875000000003,33.220575,0.0
1868,1868.0,1.25993243,9.9957,8.327925,38.673675,11.1249,22.468875,16.209,15.731475,38.263574999999996,31.4217,26.535000000000004,34.245675,0.0
1869,1869.0,1.68828602,9.990825,8.34135,38.726625,11.060925,22.799924999999998,15.947099999999999,15.507525000000001,38.191725,31.65435,26.772675,33.964124999999996,0.0
1870,1870.0,0.9451158100000001,10.0128,8.324625000000001,38.84325,11.033850000000001,22.835925,15.8325,15.479325,38.26995,31.525725,27.0912,33.8778,0.0
1871,1871.0,0.58719774,10.181925,11.1465,40.626075,11.840025,11.209575,26.35785,15.510449999999999,27.409575000000004,29.048250000000003,13.283475000000001,40.1925,0.0
1872,1872.0,0.66843777,9.755325,8.721225,37.537125,10.80705,23.9709,16.544325,13.939875,36.16185,34.113675,24.37695,33.41445,0.0
1873,1873.0,0.0325135,9.755325,8.721225,37.537125,10.80705,23.9709,16.544325,13.939875,36.16185,34.113675,24.37695,33.41445,0.0
1874,1874.0,0.11227265,10.14975,8.588025,40.656375,10.59,23.44155,13.909799999999999,14.724,39.1599,31.318800000000003,30.59265,32.085525000000004,0.0
1875,1875.0,0.58351697,10.162949999999999,8.602725,40.710975000000005,10.600275,23.346075,13.92915,14.800049999999999,39.294675,31.19565,30.594,32.130375,0.0
1876,1876.0,0.7468455500000001,9.95115,11.278500000000001,41.9607,10.180200000000001,17.850375,23.056874999999998,13.40025,30.259275000000002,36.33,26.488275,36.856725,0.0
1877,1877.0,0.18603293,9.9459,11.235899999999999,41.9349,10.2,17.8545,22.977825,13.390875000000001,30.21795,36.2151,26.28915,36.80985,0.0
1878,1878.0,0.01201079,10.0989,11.755725,42.89805,10.64085,15.46575,25.399050000000003,14.173874999999999,28.786575,35.417325000000005,24.065175,38.889675,0.0
1879,1879.0,1.51335982,10.104,11.8035,42.885675,10.606575,15.566775,25.440374999999996,14.175375,28.931400000000004,35.647574999999996,24.4248,38.902275,0.0
1880,1880.0,0.20723774,9.627374999999999,8.164575000000001,37.121175,9.95115,33.840450000000004,9.545100000000001,10.180724999999999,36.816525,39.9867,27.932025,27.275325000000002,0.0
1881,1881.0,0.2627295,10.079925,11.570475,43.023525,10.79175,14.913900000000002,25.328925,14.184450000000002,28.058175,34.353375,22.439625,38.92845,0.0
1882,1882.0,0.05517691,9.584025,8.411775,35.987475,9.8769,34.8594,9.54015,9.801525,37.156275,41.126174999999996,25.93005,27.000675,0.0
1883,1883.0,1.43632409,10.068,12.689025,42.75555,9.706199999999999,16.843425,25.357725,13.828875,30.7266,39.224999999999994,30.876749999999998,38.34615,0.0
